Index,BPI,teamrankings,scheduled,abbr team,abbr,class
38,GEORGIA STATE,Georgia State,Georgia State Panthers,Georgia State,GAST,DIVISION 1  FBS
39,GEORGIA TECH,GA Tech,Georgia Tech Yellow Jackets,Georgia Tech,GT,DIVISION 1  FBS
40,HAWAII,Hawaii,Hawaii Rainbow Warriors,Hawaii,HAW,DIVISION 1  FBS
41,HOUSTON,Houston,Houston Cougars,Houston,HOU,DIVISION 1  FBS
42,ILLINOIS,Illinois,Illinois Fighting Illini,Illinois,ILL,DIVISION 1  FBS
43,INDIANA,Indiana,Indiana Hoosiers,Indiana,IND,DIVISION 1  FBS
44,IOWA,Iowa,Iowa Hawkeyes,Iowa,IOWA,DIVISION 1  FBS
45,IOWA STATE,Iowa State,Iowa State Cyclones,Iowa State,ISU,DIVISION 1  FBS
46,KANSAS,Kansas,Kansas Jayhawks,Kansas,KU,DIVISION 1  FBS
47,KANSAS STATE,Kansas St,Kansas State Wildcats,Kansas State,KSU,DIVISION 1  FBS
48,KENT STATE,Kent State,?,Kent State,KENT,DIVISION 1  FBS
49,KENTUCKY,Kentucky,Kentucky Wildcats,Kentucky,UK,DIVISION 1  FBS
50,LA-LAFAYETTE,LA Lafayette,Louisiana Ragin Cajuns,Louisiana Lafayette,UL,DIVISION 1  FBS
51,LA-MONROE,LA Monroe,UL Monroe Warhawks,Louisiana Monroe,ULM,DIVISION 1  FBS
52,LIBERTY,Liberty,Liberty Flames,Liberty,LIB,DIVISION 1  FBS
53,LOUISIANA STATE,LSU,LSU Tigers,LSU,LSU,DIVISION 1  FBS
54,LOUISIANA TECH,LA Tech,Louisiana Tech Bulldogs,Louisiana Tech,LAT,DIVISION 1  FBS
55,LOUISVILLE,Louisville,Louisville Cardinals,Louisville,LOU,DIVISION 1  FBS
56,MARSHALL,Marshall,Marshall Thundering Herd,Marshall,MRSH,DIVISION 1  FBS
57,MARYLAND,Maryland,Maryland Terrapins,Maryland,MD,DIVISION 1  FBS
58,MASSACHUSETTS,U Mass,?,UMass,MASS,DIVISION 1  FBS
59,MEMPHIS,Memphis,Memphis Tigers,Memphis,MEM,DIVISION 1  FBS
60,MIAMI OF OHIO,Miami (OH),?,Miami (OH),M-OH,DIVISION 1  FBS
61,MIAMI-FL,Miami (FL),Miami Hurricanes,Miami (FL),MIA,DIVISION 1  FBS
62,MICHIGAN,Michigan,Michigan Wolverines,Michigan,MICH,DIVISION 1  FBS
63,MICHIGAN STATE,Michigan St,Michigan State Spartans,Michigan State,MSU,DIVISION 1  FBS
64,MIDDLE TENNESSEE STATE,Middle Tenn,Middle Tennessee Blue Raiders,Middle Tennessee,MTSU,DIVISION 1  FBS
65,MINNESOTA,Minnesota,Minnesota Golden Gophers,Minnesota,MINN,DIVISION 1  FBS
66,MISSISSIPPI,Mississippi,Ole Miss Rebels,Ole Miss,MISS,DIVISION 1  FBS
67,MISSISSIPPI STATE,Miss State,Mississippi State Bulldogs,Mississippi State,MSST,DIVISION 1  FBS
68,MISSOURI,Missouri,Missouri Tigers,Missouri,MIZ,DIVISION 1  FBS
69,NAVY,Navy,Navy Midshipmen,Navy,NAVY,DIVISION 1  FBS
70,NEBRASKA,Nebraska,Nebraska Cornhuskers,Nebraska,NEB,DIVISION 1  FBS
71,NEVADA,Nevada,Nevada Wolf Pack,Nevada,NEV,DIVISION 1  FBS
72,NEVADA-LAS VEGAS,UNLV,UNLV Rebels,UNLV,UNLV,DIVISION 1  FBS
73,NEW MEXICO,New Mexico,New Mexico Lobos,New Mexico,UNM,DIVISION 1  FBS
74,NEW MEXICO STATE,N Mex State,?,New Mexico State,NMSU,DIVISION 1  FBS
75,NO. CAROLINA STATE,NC State,NC State Wolfpack,NC State,NCST,DIVISION 1  FBS
76,NORTH CAROLINA,N Carolina,North Carolina Tar Heels,North Carolina,UNC,DIVISION 1  FBS
77,NORTH TEXAS,North Texas,North Texas Mean Green,North Texas,UNT,DIVISION 1  FBS
78,NORTHERN ILLINOIS,N Illinois,?,Northern Illinois,NIU,DIVISION 1  FBS
79,NORTHWESTERN,Northwestern,Northwestern Wildcats,Northwestern,NW,DIVISION 1  FBS
80,NOTRE DAME,Notre Dame,Notre Dame Fighting Irish,Notre Dame,ND,DIVISION 1  FBS
81,OHIO STATE,Ohio State,Ohio State Buckeyes,Ohio State,OSU,DIVISION 1  FBS
82,OHIO UNIV.,Ohio,?,Ohio,OHIO,DIVISION 1  FBS
83,OKLAHOMA,Oklahoma,Oklahoma Sooners,Oklahoma,OKLA,DIVISION 1  FBS
84,OKLAHOMA STATE,Oklahoma St,Oklahoma State Cowboys,Oklahoma State,OKST,DIVISION 1  FBS
85,OLD DOMINION,Old Dominion,?,Old Dominion,ODU,DIVISION 1  FBS
86,OREGON,Oregon,Oregon Ducks,Oregon,ORE,DIVISION 1  FBS
87,OREGON STATE,Oregon St,Oregon State Beavers,Oregon State,ORST,DIVISION 1  FBS
88,PENN STATE,Penn State,Penn State Nittany Lions,Penn State,PSU,DIVISION 1  FBS
89,PITTSBURGH,Pittsburgh,Pittsburgh Panthers,Pittsburgh,PITT,DIVISION 1  FBS
90,PURDUE,Purdue,Purdue Boilermakers,Purdue,PUR,DIVISION 1  FBS
91,RICE,Rice,Rice Owls,Rice,RICE,DIVISION 1  FBS
92,RUTGERS,Rutgers,Rutgers Scarlet Knights,Rutgers,RUTG,DIVISION 1  FBS
93,SAN DIEGO STATE,San Diego St,San Diego State Aztecs,San Diego State,SDSU,DIVISION 1  FBS
94,SAN JOSE STATE,San Jose St,San Jose State Spartans,SAN JOSE STATE,SJSU,DIVISION 1  FBS
95,SOUTH ALABAMA,S Alabama,South Alabama Jaguars,South Alabama,USA,DIVISION 1  FBS
96,SOUTH CAROLINA,S Carolina,South Carolina Gamecocks,South Carolina,SC,DIVISION 1  FBS
97,SOUTH FLORIDA,S Florida,South Florida Bulls,South Florida,USF,DIVISION 1  FBS
98,SOUTHERN MISSISSIPPI,S Mississippi,Southern Mississippi Golden Eagles,Southern Miss,USM,DIVISION 1  FBS
99,SOUTHERN CALIFORNIA,USC,USC Trojans,USC,USC,DIVISION 1  FBS
100,SOUTHERN METHODIST,S Methodist,SMU Mustangs,SMU,SMU,DIVISION 1  FBS
101,STANFORD,Stanford,Stanford Cardinal,Stanford,STAN,DIVISION 1  FBS
102,SYRACUSE,Syracuse,Syracuse Orange,Syracuse,SYR,DIVISION 1  FBS
103,TEMPLE,Temple,Temple Owls,Temple,TEM,DIVISION 1  FBS
104,TENNESSEE,Tennessee,Tennessee Volunteers,Tennessee,TENN,DIVISION 1  FBS
105,TEXAS,Texas,Texas Longhorns,Texas,TEX,DIVISION 1  FBS
106,TEXAS STATE-SAN MARCOS,Texas State,Texas State Bobcats,Texas State,TXST,DIVISION 1  FBS
107,TEXAS A&M,Texas A&M,Texas A&M Aggies,Texas A&M,TA&M,DIVISION 1  FBS
108,TEXAS CHRISTIAN,TX Christian,TCU Horned Frogs,TCU,TCU,DIVISION 1  FBS
109,TEXAS TECH,Texas Tech,Texas Tech Red Raiders,Texas Tech,TTU,DIVISION 1  FBS
110,TEXAS-EL PASO,TX El Paso,UTEP Miners,UTEP,UTEP,DIVISION 1  FBS
111,TEXAS-SAN ANTONIO,TX-San Ant,UTSA Roadrunners,UTSA,UTSA,DIVISION 1  FBS
112,TOLEDO,Toledo,?,Toledo,TOL,DIVISION 1  FBS
113,TROY STATE,Troy,Troy Trojans,Troy,TROY,DIVISION 1  FBS
114,TULANE,Tulane,Tulane Green Wave,Tulane,TULN,DIVISION 1  FBS
115,TULSA,Tulsa,Tulsa Golden Hurricane,Tulsa,TLSA,DIVISION 1  FBS
116,U.C.L.A.,UCLA,UCLA Bruins,UCLA,UCLA,DIVISION 1  FBS
117,UNC - CHARLOTTE,Charlotte,Charlotte 49ers,Charlotte,CLT,DIVISION 1  FBS
118,UTAH,Utah,Utah Utes,Utah,UTAH,DIVISION 1  FBS
119,UTAH STATE,Utah State,Utah State Aggies,Utah State,USU,DIVISION 1  FBS
120,VANDERBILT,Vanderbilt,Vanderbilt Commodores,Vanderbilt,VAN,DIVISION 1  FBS
121,VIRGINIA,Virginia,Virginia Cavaliers,Virginia,UVA,DIVISION 1  FBS
122,VIRGINIA TECH,VA Tech,Virginia Tech Hokies,Virginia Tech,VT,DIVISION 1  FBS
123,WAKE FOREST,Wake Forest,Wake Forest Demon Deacons,Wake Forest,WAKE,DIVISION 1  FBS
124,WASHINGTON,Washington,Washington Huskies,Washington,WASH,DIVISION 1  FBS
125,WASHINGTON STATE,Wash State,Washington State Cougars,Washington State,WSU,DIVISION 1  FBS
126,WEST VIRGINIA,W Virginia,West Virginia Mountaineers,West Virginia,WVU,DIVISION 1  FBS
127,WESTERN KENTUCKY,W Kentucky,Western Kentucky Hilltoppers,WESTERN KENTUCKY,WKU,DIVISION 1  FBS
128,WESTERN MICHIGAN,W Michigan,?,Western Michigan,WMU,DIVISION 1  FBS
129,WISCONSIN,Wisconsin,Wisconsin Badgers,Wisconsin,WIS,DIVISION 1  FBS
130,WYOMING,Wyoming,Wyoming Cowboys,Wyoming,WYO,DIVISION 1  FBS
131,ADAMS STATE,?,?,?,?,DIVISION 2
132,ALBANY STATE-GEORGIA,?,?,?,?,DIVISION 2
133,ALDERSON-BROADDUS,?,?,?,?,DIVISION 2
134,AMERICAN INTERNATIONAL,?,?,?,?,DIVISION 2
135,ANGELO STATE,?,?,?,?,DIVISION 2
136,ARKANSAS TECH,?,?,?,?,DIVISION 2
137,ARKANSAS-MONTICELLO,?,?,?,?,DIVISION 2
138,ASHLAND UNIVERSITY,?,?,?,?,DIVISION 2
139,ASSUMPTION COLLEGE,?,?,?,?,DIVISION 2
140,AUGUSTANA-S.D.,?,?,?,?,DIVISION 2
141,AZUSA PACIFIC,?,?,?,?,DIVISION 2
142,BARTON,?,?,?,?,DIVISION 2
143,BEMIDJI STATE,?,?,?,?,DIVISION 2
144,BENEDICT-S.C,?,?,?,?,DIVISION 2
145,BENTLEY COLLEGE,?,?,?,?,DIVISION 2
146,BLACK HILLS STATE,?,?,?,?,DIVISION 2
147,BLOOMSBURG UNIVERSITY,?,?,?,?,DIVISION 2
148,BOWIE STATE,?,?,?,?,DIVISION 2
149,CALIFORNIA-PA.,?,?,?,?,DIVISION 2
150,CARSON-NEWMAN,?,?,?,?,DIVISION 2
151,CATAWBA COLLEGE,?,?,?,?,DIVISION 2
152,CENTRAL MISSOURI STATE,?,?,?,?,DIVISION 2
153,CENTRAL OKLAHOMA,?,?,?,?,DIVISION 2
154,CENTRAL STATE – OHIO,?,?,?,?,DIVISION 2
155,CENTRAL WASHINGTON,?,?,?,?,DIVISION 2
156,CHADRON STATE,?,?,?,?,DIVISION 2
157,CHARLESTON-WEST VIRGINIA,?,?,?,?,DIVISION 2
158,CHOWAN COLLEGE,?,?,?,?,DIVISION 2
159,CLARION,?,?,?,?,DIVISION 2
160,CLARK-ATLANTA,?,?,?,?,DIVISION 2
161,COLORADO MINES,?,?,?,?,DIVISION 2
162,COLORADO ST- PUEBLO,?,?,?,?,DIVISION 2
163,CONCORD COLLEGE,?,?,?,?,DIVISION 2
164,CONCORDIA STATE-ST.PAUL,?,?,?,?,DIVISION 2
165,CROOKSTON-MINNESOTA,?,?,?,?,DIVISION 2
166,DAVENPORT MI,?,?,?,?,DIVISION 2
167,DELTA STATE,?,?,?,?,DIVISION 2
168,DULUTH-MINNESOTA,?,?,?,?,DIVISION 2
169,EAST CENTRAL-OKLAHOMA,?,?,?,?,DIVISION 2
170,EAST STROUDSBURG,?,?,?,?,DIVISION 2
171,EASTERN NEW MEXICO,?,?,?,?,DIVISION 2
172,EDINBORO UNIVERSITY,?,?,?,?,DIVISION 2
173,ELIZABETH CITY STATE,?,?,?,?,DIVISION 2
174,EMPORIA STATE,?,?,?,?,DIVISION 2
175,ERSKINE,?,?,?,?,DIVISION 2
176,FAIRMONT STATE,?,?,?,?,DIVISION 2
177,FAYETTEVILLE STATE,?,?,?,?,DIVISION 2
178,FERRIS STATE,?,?,?,?,DIVISION 2
179,FINDLAY,?,?,?,?,DIVISION 2
180,FORT HAYS STATE,?,?,?,?,DIVISION 2
181,FORT LEWIS,?,?,?,?,DIVISION 2
182,FORT VALLEY STATE,?,?,?,?,DIVISION 2
183,FRANKLIN PIERCE,?,?,?,?,DIVISION 2
184,FROSTBURG,?,?,?,?,DIVISION 2
185,GANNON,?,?,?,?,DIVISION 2
186,GLENVILLE STATE,?,?,?,?,DIVISION 2
187,GRAND VALLEY STATE,?,?,?,?,DIVISION 2
188,HARDING,?,?,?,?,DIVISION 2
189,HENDERSON STATE,?,?,?,?,DIVISION 2
190,HILLSDALE COLLEGE,?,?,?,?,DIVISION 2
191,INDIANA-PA.,?,?,?,?,DIVISION 2
192,INDIANAPOLIS,?,?,?,?,DIVISION 2
193,JOHNSON C. SMITH,?,?,?,?,DIVISION 2
194,KENTUCKY STATE,?,?,?,?,DIVISION 2
195,KENTUCKY WESLEYAN,?,?,?,?,DIVISION 2
196,KUTZTOWN UNIVERSITY,?,?,?,?,DIVISION 2
197,LAKE ERIE,?,?,?,?,DIVISION 2
198,LANE COLLEGE,?,?,?,?,DIVISION 2
199,LENOIR-RHYNE,?,?,?,?,DIVISION 2
200,LIMESTONE,?,?,?,?,DIVISION 2
201,LINCOLN-MO.,?,?,?,?,DIVISION 2
202,LINCOLN-PA,?,?,?,?,DIVISION 2
203,LINDENWOOD - MO,?,?,?,?,DIVISION 2
204,LIVINGSTONE COLLEGE,?,?,?,?,DIVISION 2
205,LOCK HAVEN,?,?,?,?,DIVISION 2
206,MARS HILL,?,?,?,?,DIVISION 2
207,MARY,?,?,?,?,DIVISION 2
208,McKENDREE,?,?,?,?,DIVISION 2
209,MERCYHURST,?,?,?,?,DIVISION 2
210,MESA STATE-COLORADO,?,?,?,?,DIVISION 2
211,MICHIGAN TECH,?,?,?,?,DIVISION 2
212,MIDWESTERN STATE,?,?,?,?,DIVISION 2
213,MILES COLLEGE,?,?,?,?,DIVISION 2
214,MILLERSVILLE,?,?,?,?,DIVISION 2
215,MINNESOTA STATE- MANKATO,?,?,?,?,DIVISION 2
216,MINOT STATE,?,?,?,?,DIVISION 2
217,MISSOURI S&T,?,?,?,?,DIVISION 2
218,MISSOURI SOUTHERN ,?,?,?,?,DIVISION 2
219,MISSOURI WESTERN,?,?,?,?,DIVISION 2
220,MOORHEAD ST.-MINNESOTA,?,?,?,?,DIVISION 2
221,MOREHOUSE COLLEGE,?,?,?,?,DIVISION 2
222,NEBRASKA KEARNEY,?,?,?,?,DIVISION 2
223,NEW HAVEN,?,?,?,?,DIVISION 2
224,NEW MEXICO HIGHLANDS,?,?,?,?,DIVISION 2
225,NEWBERRY,?,?,?,?,DIVISION 2
226,NO. EAST OKLAHOMA ST.,?,?,?,?,DIVISION 2
227,NO.WEST OKLAHOMA,?,?,?,?,DIVISION 2
228,NORTH GREENVILLE-S.C.,?,?,?,?,DIVISION 2
229,NORTHERN MICHIGAN,?,?,?,?,DIVISION 2
230,NORTHERN STATE - SD,?,?,?,?,DIVISION 2
231,NORTHWEST MISSOURI ST.,?,?,?,?,DIVISION 2
232,NORTHWOOD,?,?,?,?,DIVISION 2
233,NOTRE DAME - OHIO,?,?,?,?,DIVISION 2
234,OHIO DOMINICAN,?,?,?,?,DIVISION 2
235,OKLAHOMA BAPTIST,?,?,?,?,DIVISION 2
236,OUACHITA BAPTIST,?,?,?,?,DIVISION 2
237,PACE,?,?,?,?,DIVISION 2
238,PITTSBURG STATE,?,?,?,?,DIVISION 2
239,QUINCY UNIVERSITY,?,?,?,?,DIVISION 2
240,SAGINAW VALLEY STATE,?,?,?,?,DIVISION 2
241,SAINT CLOUD STATE,?,?,?,?,DIVISION 2
242,SAVANNAH STATE,?,?,?,?,DIVISION 2
243,SETON HILL,?,?,?,?,DIVISION 2
244,SHAW,?,?,?,?,DIVISION 2
245,SHEPHERD COLLEGE,?,?,?,?,DIVISION 2
246,SHIPPENSBURG,?,?,?,?,DIVISION 2
247,SHORTER,?,?,?,?,DIVISION 2
248,SIMON FRASER,?,?,?,?,DIVISION 2
249,SIOUX FALLS,?,?,?,?,DIVISION 2
250,SLIPPERY ROCK,?,?,?,?,DIVISION 2
251,SO. EAST. OKLAHOMA ST.,?,?,?,?,DIVISION 2
252,SO. WEST. OKLAHOMA ST.,?,?,?,?,DIVISION 2
253,SO.WESTERN STATE-MINNE.,?,?,?,?,DIVISION 2
254,SOUTH DAKOTA TECH,?,?,?,?,DIVISION 2
255,SOUTHERN ARKANSAS,?,?,?,?,DIVISION 2
256,SOUTHERN CONNECTICUT,?,?,?,?,DIVISION 2
257,SOUTHERN NAZARENE,?,?,?,?,DIVISION 2
258,SOUTHWEST BAPTIST,?,?,?,?,DIVISION 2
259,ST. AUGUSTINE,?,?,?,?,DIVISION 2
260,ST.ANSELM,?,?,?,?,DIVISION 2
261,STONEHILL COLLEGE,?,?,?,?,DIVISION 2
262,TAMU - COMMERCE,?,?,?,?,DIVISION 2
263,TAMU - KINGSVILLE,?,?,?,?,DIVISION 2
264,TEXAS PERMIAN BASIN,?,?,?,?,DIVISION 2
265,TIFFIN,?,?,?,?,DIVISION 2
266,TRUMAN STATE,?,?,?,?,DIVISION 2
267,TUSCULUM,?,?,?,?,DIVISION 2
268,TUSKEGEE UNIVERSITY,?,?,?,?,DIVISION 2
269,UNC-PEMBROKE,?,?,?,?,DIVISION 2
270,UPPER IOWA,?,?,?,?,DIVISION 2
271,VALDOSTA STATE,?,?,?,?,DIVISION 2
272,VIRGINIA STATE,?,?,?,?,DIVISION 2
273,VIRGINIA UNION,?,?,?,?,DIVISION 2
274,VIRGINIA-WISE,?,?,?,?,DIVISION 2
275,WALSH,?,?,?,?,DIVISION 2
276,WASHBURN,?,?,?,?,DIVISION 2
277,WAYNE STATE-MICHIGAN,?,?,?,?,DIVISION 2
278,WAYNE STATE-NEBRASKA,?,?,?,?,DIVISION 2
279,WEST ALABAMA,?,?,?,?,DIVISION 2
280,WEST CHESTER,?,?,?,?,DIVISION 2
281,WEST FLORIDA,?,?,?,?,DIVISION 2
282,WEST GEORGIA,?,?,?,?,DIVISION 2
283,WEST LIBERTY STATE,?,?,?,?,DIVISION 2
284,WEST TEXAS A&M,?,?,?,?,DIVISION 2
285,WEST VIRGINIA STATE,?,?,?,?,DIVISION 2
286,WEST VIRGINIA WESLEYAN,?,?,?,?,DIVISION 2
287,WESTERN NEW MEXICO,?,?,?,?,DIVISION 2
288,WESTERN OREGON,?,?,?,?,DIVISION 2
289,WESTERN STATE-COLO.,?,?,?,?,DIVISION 2
290,WHEELING JESUIT,?,?,?,?,DIVISION 2
291,WILLIAM JEWELL,?,?,?,?,DIVISION 2
292,WINGATE,?,?,?,?,DIVISION 2
293,WINONA STATE,?,?,?,?,DIVISION 2
294,WINSTON-SALEM,?,?,?,?,DIVISION 2
295,ADRIAN,?,?,?,?,DIVISION 3
296,ALBION,?,?,?,?,DIVISION 3
297,ALBRIGHT,?,?,?,?,DIVISION 3
298,ALFRED,?,?,?,?,DIVISION 3
299,ALFRED STATE,?,?,?,?,DIVISION 3
300,ALLEGHENY,?,?,?,?,DIVISION 3
301,ALMA,?,?,?,?,DIVISION 3
302,ALVERNIA,?,?,?,?,DIVISION 3
303,AMHERST,?,?,?,?,DIVISION 3
304,ANDERSON,?,?,?,?,DIVISION 3
305,ANNA MARIA,?,?,?,?,DIVISION 3
306,AUGSBURG,?,?,?,?,DIVISION 3
307,AUGUSTANA-ILL.,?,?,?,?,DIVISION 3
308,AURORA,?,?,?,?,DIVISION 3
309,AUSTIN COLLEGE,?,?,?,?,DIVISION 3
310,AVERETT COLLEGE,?,?,?,?,DIVISION 3
311,BALDWIN-WALLACE,?,?,?,?,DIVISION 3
312,BATES,?,?,?,?,DIVISION 3
313,BECKER,?,?,?,?,DIVISION 3
314,BELHAVEN,?,?,?,?,DIVISION 3
315,BELOIT,?,?,?,?,DIVISION 3
316,BENEDICTINE - ILL,?,?,?,?,DIVISION 3
317,BERRY,?,?,?,?,DIVISION 3
318,BETHANY-WEST VIRGINIA,?,?,?,?,DIVISION 3
319,BETHEL-MINNESOTA,?,?,?,?,DIVISION 3
320,BIRMINGHAM-SOUTHERN,?,?,?,?,DIVISION 3
321,BLUFFTON,?,?,?,?,DIVISION 3
322,BOWDOIN,?,?,?,?,DIVISION 3
323,BREVARD -NC,?,?,?,?,DIVISION 3
324,BRIDGEWATER-MASS.,?,?,?,?,DIVISION 3
325,BRIDGEWATER-VA.,?,?,?,?,DIVISION 3
326,BROCKPORT STATE,?,?,?,?,DIVISION 3
327,BUENA VISTA,?,?,?,?,DIVISION 3
328,BUFFALO STATE,?,?,?,?,DIVISION 3
329,CALIFORNIA LUTHERAN,?,?,?,?,DIVISION 3
330,CAPITAL,?,?,?,?,DIVISION 3
331,CARLETON,?,?,?,?,DIVISION 3
332,CARNEGIE MELLON,?,?,?,?,DIVISION 3
333,CARROLL-WISCONSIN,?,?,?,?,DIVISION 3
334,CARTHAGE,?,?,?,?,DIVISION 3
335,CASE WESTERN,?,?,?,?,DIVISION 3
336,CASTLETON STATE,?,?,?,?,DIVISION 3
337,CATHOLIC UNIVERSITY,?,?,?,?,DIVISION 3
338,CENTRAL COLLEGE-IOWA,?,?,?,?,DIVISION 3
339,CENTRE,?,?,?,?,DIVISION 3
340,CHAPMAN,?,?,?,?,DIVISION 3
341,CHICAGO,?,?,?,?,DIVISION 3
342,CHRISTOPHER NEWPORT,?,?,?,?,DIVISION 3
343,CLAREMONT-MUDD- SCRIPPS,?,?,?,?,DIVISION 3
344,COAST GUARD,?,?,?,?,DIVISION 3
345,COE,?,?,?,?,DIVISION 3
346,COLBY,?,?,?,?,DIVISION 3
347,CONCORDIA - ILL,?,?,?,?,DIVISION 3
348,CONCORDIA WISC.,?,?,?,?,DIVISION 3
349,CONCORDIA-MOORHEAD,?,?,?,?,DIVISION 3
350,CORNELL-IA.,?,?,?,?,DIVISION 3
351,CORTLAND STATE,?,?,?,?,DIVISION 3
352,CROWN,?,?,?,?,DIVISION 3
353,CURRY,?,?,?,?,DIVISION 3
354,DARTMOUTH-MASS.,?,?,?,?,DIVISION 3
355,DEAN,?,?,?,?,DIVISION 3
356,DEFIANCE,?,?,?,?,DIVISION 3
357,DELAWARE VALLEY,?,?,?,?,DIVISION 3
358,DENISON,?,?,?,?,DIVISION 3
359,DEPAUW,?,?,?,?,DIVISION 3
360,DICKINSON,?,?,?,?,DIVISION 3
361,DUBUQUE,?,?,?,?,DIVISION 3
362,EAST TEXAS BAPTIST,?,?,?,?,DIVISION 3
363,ELMHURST,?,?,?,?,DIVISION 3
364,EMORY & HENRY,?,?,?,?,DIVISION 3
365,ENDICOTT,?,?,?,?,DIVISION 3
366,EUREKA,?,?,?,?,DIVISION 3
367,F.D.U.- FLORHAM PARK,?,?,?,?,DIVISION 3
368,FERRUM COLLEGE,?,?,?,?,DIVISION 3
369,FINLANDIA,?,?,?,?,DIVISION 3
370,FITCHBURG,?,?,?,?,DIVISION 3
371,FRAMINGHAM STATE,?,?,?,?,DIVISION 3
372,FRANKLIN & MARSHALL,?,?,?,?,DIVISION 3
373,FRANKLIN COLLEGE,?,?,?,?,DIVISION 3
374,GALLAUDET,?,?,?,?,DIVISION 3
375,GENEVA,?,?,?,?,DIVISION 3
376,GEORGE FOX,?,?,?,?,DIVISION 3
377,GETTYSBURG,?,?,?,?,DIVISION 3
378,GREENSBORO COLLEGE,?,?,?,?,DIVISION 3
379,GREENVILLE,?,?,?,?,DIVISION 3
380,GRINNELL,?,?,?,?,DIVISION 3
381,GROVE CITY,?,?,?,?,DIVISION 3
382,GUILFORD,?,?,?,?,DIVISION 3
383,GUSTAVUS ADOLPHUS,?,?,?,?,DIVISION 3
384,HAMILTON,?,?,?,?,DIVISION 3
385,HAMLINE,?,?,?,?,DIVISION 3
386,HAMPDEN-SYDNEY,?,?,?,?,DIVISION 3
387,HANOVER,?,?,?,?,DIVISION 3
388,HARDIN-SIMMONS,?,?,?,?,DIVISION 3
389,HARTWICK,?,?,?,?,DIVISION 3
390,HEIDELBERG,?,?,?,?,DIVISION 3
391,HENDRIX,?,?,?,?,DIVISION 3
